INGREDIENT_ENG.y,mean_KJ,sd_KJ,median_KJ
AMARANTH SEEDS,1489.3546393442793,0.35204244192224343,1489.4654377880188
ARROW ROOT FLOUR,1400.3540086580088,5.390810566769404,1399.7381818181816
BAJRA,1455.8791562535052,3.9714471645533793,1456.0320000000002
BARLEY,1315.366116367017,74.9129737528124,1322.528735632184
Biryani,619.3626551881317,0.717832319774906,619.6078156897054
ITALIAN MILLET,1383.8043020230716,2.1560078609927964,1384.3739237392376
JOWAR,1397.60561991087,3.017164611592264,1397.4560000000001
"MAIZE,dry",1397.263405543085,3.253205731112771,1397.4560000000001
OATMEAL,1564.0707019400352,4.0837095004161315,1564.816
Other ceraeal and millets,1374.5300540791086,21.278691221110922,1376.7179130434783
PANIVARAGU,1390.7289064901638,119.16405289965714,1425.3644108108108
RAGI,1342.7516656246833,7.194324655826779,1343.064
"RICE, bran",1639.826878787879,4.352803025719849,1640.1280000000002
"RICE, parboiled, handpounded",1459.4144348377783,3.7942213577370953,1460.3509677419354
"RICE, parboiled,milled",1473.1964234992126,2.603720195675092,1472.768
"RICE, puffed",1513.8756937028804,7.648003372383174,1514.608
"RICE, raw, handpounded",1481.1956844946983,2.132815615882215,1480.9575528625332
"RICE, raw, milled",1488.5811246123312,59.40940710400959,1489.5040000000001
SAMAI,1198.4878156714576,545.5420663867325,1443.48
SANWA MILLET,1255.2,0,1255.2
VARAGU,1381.8249967907475,31.86274027436901,1389.4752515090545
"WHEAT, bread, (brown)",1007.8622843334929,48.050667137545,1020.8960000000001
"WHEAT, bread, (white)",1020.8819081873428,26.24846651705996,1025.0800000000002
"WHEAT, bulgar (parboiled)",1431.0215609263714,2.312057831906754,1430.928
"WHEAT, flour(refined)",1469.4948392152908,51.19291481187295,1472.768
"WHEAT, flour(whole)",1338.792123783842,18.57477724978626,1338.88
"WHEAT, germ",1505.6106166773645,528.0663686186928,1660.9212121212122
"WHEAT, semolina",1397.1611220132545,3.9476585971841383,1397.3826679649464
"WHEAT, vermicelli",1405.8107746797,3.814252719389548,1405.824
"WHEAT, whole",1348.9309455758048,45.60797223667285,1347.248
